epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,199.054,1.46782,3.14473,2.78306,1.5661,0,0.37232,0.07724,0.02717,0.01058,0.36947,0.07317,0.01825,0.00585,1.91933,3.85175,6.09028,1.97452,0,0.000474021,0.000474021,0.000474021
2,404.932,1.65909,3.04207,2.62941,1.73914,0,0.35327,0.15079,0.0269,0.00887,0.35061,0.05827,0.01164,0.00359,2.14174,3.9565,6.12034,2.19231,0,0.000946591,0.000946591,0.000946591
3,625.412,1.80436,3.22598,2.67448,1.83097,0,0.43008,0.12166,0.06276,0.02166,0.42423,0.10007,0.05286,0.02161,2.13636,4.39441,4.42334,2.34766,0,0.00141539,0.00141539,0.00141539
4,858.98,1.76382,3.02934,2.6071,1.79323,0,0.42772,0.1172,0.078,0.02449,0.42646,0.10191,0.06069,0.02041,2.20158,3.38944,3.10193,2.24411,0,0.00141202,0.00141202,0.00141202
5,1068.81,1.74827,3.07063,2.50084,1.80877,0,0.10924,0.19113,0.07708,0.03139,0.07994,0.17612,0.05911,0.02021,2.07143,3.39183,2.96682,2.16889,0,0.00140636,0.00140636,0.00140636
6,1276.23,1.72271,3.06547,2.45884,1.80021,0,0.47412,0.14478,0.09332,0.03586,0.45831,0.13443,0.08,0.02757,2.09874,3.40498,3.20468,2.15517,0,0.00140071,0.00140071,0.00140071
7,1482.36,1.66861,3.04718,2.44989,1.74377,0,0.50609,0.13596,0.09835,0.04102,0.48359,0.11784,0.07869,0.02837,1.99797,3.47653,2.85515,2.05691,0,0.00139505,0.00139505,0.00139505
8,1692.13,1.60363,2.90536,2.42576,1.69822,0,0.52284,0.12338,0.10693,0.04248,0.46798,0.13639,0.08796,0.0244,1.91601,3.31293,2.88864,1.991,0,0.00138939,0.00138939,0.00138939
9,1892.77,1.58791,2.88053,2.33386,1.69386,0,0.13736,0.22093,0.10872,0.04561,0.14915,0.18476,0.07292,0.02918,1.97512,3.28095,2.83284,2.01939,0,0.00138373,0.00138373,0.00138373
10,2382.75,1.54345,2.86587,2.25559,1.65073,0,0.13175,0.21657,0.12074,0.05909,0.12149,0.19499,0.09625,0.03466,1.97862,3.33085,2.6863,1.98137,0,0.00137807,0.00137807,0.00137807
11,2612.23,1.59505,2.8614,2.26376,1.69249,0,0.49501,0.14903,0.10248,0.04898,0.13225,0.15129,0.08755,0.02956,1.92043,3.21754,2.88686,1.973,0,0.00137241,0.00137241,0.00137241
12,2817.99,1.50186,2.69003,2.17003,1.59404,0,0.75579,0.11101,0.11808,0.04728,0.65566,0.09523,0.09083,0.03218,2.00794,3.15372,2.59124,1.98589,0,0.00136675,0.00136675,0.00136675
13,3019.25,1.52527,2.73452,2.21633,1.63888,0,0.52005,0.18697,0.13259,0.06351,0.49466,0.14874,0.10818,0.041,1.90071,3.10485,2.68005,1.95866,0,0.00136109,0.00136109,0.00136109
14,3219.12,1.51469,2.75506,2.21317,1.65379,0,0.53831,0.13249,0.11702,0.05581,0.50914,0.11671,0.09801,0.037,1.88147,3.16817,2.61353,1.92658,0,0.00135544,0.00135544,0.00135544
15,3418.06,1.44597,2.6659,2.15527,1.57265,0,0.50048,0.18116,0.12204,0.05622,0.53895,0.12804,0.11749,0.04382,1.89898,3.34232,2.50096,1.93639,0,0.00134978,0.00134978,0.00134978
16,3616.94,1.47203,2.65264,2.14703,1.58301,0,0.4705,0.21775,0.10811,0.04901,0.45455,0.19568,0.08145,0.02871,1.87262,3.2577,2.505,1.892,0,0.00134412,0.00134412,0.00134412
17,3815.88,1.44864,2.67744,2.06557,1.55749,0,0.16116,0.2319,0.131,0.05804,0.13943,0.19781,0.10462,0.0409,1.90161,3.03409,2.49253,1.89663,0,0.00133846,0.00133846,0.00133846
18,4323.15,1.46158,2.6859,2.07791,1.57237,0,0.4669,0.23846,0.11302,0.047,0.44991,0.23526,0.10731,0.039,1.86243,2.94985,2.48834,1.9298,0,0.0013328,0.0013328,0.0013328
19,4521.37,1.34511,2.44836,2.03887,1.51255,0,0.51747,0.19883,0.15133,0.07401,0.47801,0.19113,0.13422,0.05218,1.77018,2.93591,2.40042,1.86812,0,0.00132714,0.00132714,0.00132714
20,4720.58,1.35798,2.40362,1.96069,1.49937,0,0.18784,0.24504,0.1648,0.07498,0.1552,0.18078,0.11455,0.05065,1.826,3.02886,2.48934,1.88612,0,0.00132148,0.00132148,0.00132148
21,4919.77,1.36809,2.4707,2.03889,1.53507,0,0.51312,0.22557,0.13545,0.06658,0.5115,0.19412,0.11527,0.04594,1.76254,3.02072,2.56814,1.82723,0,0.00131582,0.00131582,0.00131582
22,5118.63,1.3936,2.53658,2.02496,1.53336,0,0.52831,0.19648,0.1587,0.07505,0.50817,0.183,0.12221,0.05034,1.75876,3.05074,2.30975,1.82965,0,0.00131016,0.00131016,0.00131016
23,5317.85,1.33348,2.47707,1.96843,1.51493,0,0.5081,0.21813,0.14975,0.07042,0.53445,0.17487,0.12097,0.04519,1.71359,2.98616,2.34887,1.78583,0,0.00130451,0.00130451,0.00130451
24,5517.24,1.32717,2.48506,1.95211,1.4985,0,0.56783,0.17506,0.15086,0.08146,0.55366,0.15774,0.13314,0.05915,1.67185,2.89297,2.28296,1.73073,0,0.00129885,0.00129885,0.00129885
25,5716.78,1.28568,2.46673,1.88068,1.44474,0,0.17108,0.22751,0.13722,0.06872,0.16506,0.22332,0.11057,0.04618,1.78492,3.09396,2.45897,1.8132,0,0.00129319,0.00129319,0.00129319
26,5949.13,1.30534,2.44643,1.8606,1.47088,0,0.57416,0.21336,0.15906,0.08419,0.56656,0.18657,0.13709,0.05776,1.78267,2.8968,2.32401,1.85687,0,0.00128753,0.00128753,0.00128753
27,6414.34,1.29009,2.40235,1.87465,1.45801,0,0.19274,0.2041,0.15148,0.07302,0.56075,0.1771,0.14396,0.05781,1.7261,2.79084,2.29807,1.77711,0,0.00128187,0.00128187,0.00128187
28,6612.16,1.30335,2.37298,1.89045,1.46237,0,0.57124,0.19099,0.15276,0.07145,0.55618,0.19607,0.14446,0.05916,1.76391,2.83069,2.40052,1.87295,0,0.00127621,0.00127621,0.00127621
29,6810.98,1.31427,2.29865,1.87816,1.46649,0,0.49642,0.25771,0.16548,0.08487,0.23402,0.28326,0.15465,0.06649,1.80464,2.81458,2.32834,1.84617,0,0.00127055,0.00127055,0.00127055
30,7010.15,1.26577,2.327,1.83557,1.42665,0,0.60027,0.21256,0.18739,0.09373,0.57323,0.18878,0.16115,0.072,1.73754,2.89754,2.27197,1.8043,0,0.00126489,0.00126489,0.00126489
31,7209.47,1.24256,2.29442,1.81209,1.44795,0,0.26777,0.26294,0.17401,0.08997,0.26838,0.26158,0.17052,0.07519,1.69966,2.87453,2.26145,1.77819,0,0.00125923,0.00125923,0.00125923
32,7407.98,1.24136,2.27432,1.7959,1.43168,0,0.55694,0.20003,0.18179,0.09008,0.54031,0.20594,0.16296,0.06979,1.68475,2.81529,2.27049,1.77511,0,0.00125358,0.00125358,0.00125358
33,7926.33,1.26535,2.33565,1.8803,1.45451,0,0.1972,0.219,0.17022,0.08243,0.19295,0.20628,0.15531,0.07019,1.69834,2.88298,2.27865,1.78686,0,0.00124792,0.00124792,0.00124792
34,8124.14,1.1786,2.23205,1.7557,1.38387,0,0.18675,0.25781,0.17156,0.08558,0.16704,0.23391,0.15715,0.07265,1.66933,2.77854,2.31307,1.75216,0,0.00124226,0.00124226,0.00124226
35,8322.13,1.18723,2.16865,1.71494,1.41016,0,0.21207,0.24719,0.18268,0.09813,0.20357,0.23217,0.16233,0.0689,1.64544,2.82827,2.20928,1.74564,0,0.0012366,0.0012366,0.0012366
36,8520.29,1.19165,2.21627,1.72322,1.39968,0,0.56707,0.21552,0.1663,0.09123,0.57221,0.21233,0.16244,0.07113,1.69234,2.93109,2.2363,1.78029,0,0.00123094,0.00123094,0.00123094
37,8719.03,1.20401,2.29765,1.77996,1.40002,0,0.57255,0.25227,0.19007,0.09873,0.57543,0.23998,0.17067,0.07578,1.68251,2.7474,2.18877,1.75157,0,0.00122528,0.00122528,0.00122528
38,8917.67,1.19749,2.20945,1.70274,1.39797,0,0.54342,0.21629,0.17856,0.09506,0.55836,0.19065,0.16317,0.07379,1.72857,2.79108,2.35599,1.84556,0,0.00121962,0.00121962,0.00121962
39,9454.84,1.20932,2.10409,1.68957,1.41085,0,0.21175,0.31172,0.17529,0.08904,0.23856,0.28863,0.16424,0.07406,1.67062,2.63957,2.21394,1.77257,0,0.00121396,0.00121396,0.00121396
40,9652.74,1.19208,2.19662,1.69978,1.38857,0,0.21819,0.19694,0.16873,0.09254,0.24981,0.16284,0.15654,0.0705,1.66498,2.78257,2.25233,1.77353,0,0.00120831,0.00120831,0.00120831
41,9850.87,1.1652,2.18109,1.67624,1.37077,0,0.20444,0.24872,0.18318,0.09942,0.24229,0.19558,0.17004,0.07606,1.71426,2.77954,2.23109,1.82632,0,0.00120265,0.00120265,0.00120265
