epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,301.829,1.39167,3.26417,2.43431,1.50389,0,0.46721,0.18061,0.11479,0.05504,0.4089,0.0451,0.016,0.00439,1.7872,9.15342,2.57782,1.79669,0,1.99029e-05,1.99029e-05,0.080117
2,550.357,1.26772,2.80548,2.12818,1.45425,0,0.48508,0.15174,0.08948,0.04402,0.47097,0.12658,0.07062,0.02481,2.04531,3.9154,3.06608,2.16634,0,3.91128e-05,3.91128e-05,0.0601362
3,770.421,1.31148,2.77374,2.18934,1.48423,0,0.50421,0.22363,0.14611,0.07743,0.49792,0.20996,0.12221,0.04579,1.64531,2.99917,2.40175,1.6734,0,5.75308e-05,5.75308e-05,0.0401546
4,991.301,1.26116,2.60877,2.07346,1.45435,0,0.53313,0.19791,0.15255,0.07321,0.51129,0.16549,0.11862,0.04712,1.68441,3.20765,2.51702,1.77962,0,7.51567e-05,7.51567e-05,0.0201722
5,1211.3,1.22567,2.51838,1.96452,1.43256,0,0.53651,0.23293,0.16475,0.08747,0.53754,0.20729,0.15027,0.06833,1.56032,2.98754,2.37578,1.60763,0,9.19906e-05,9.19906e-05,0.000189078
6,1590.13,1.22282,2.46063,1.92869,1.43541,0,0.2594,0.2522,0.18788,0.10247,0.26376,0.25171,0.17989,0.07534,1.5385,2.63586,2.35986,1.60097,0,9.01e-05,9.01e-05,9.01e-05
7,1981.43,1.1622,2.37063,1.91686,1.38097,0,0.57997,0.25055,0.17542,0.08665,0.53486,0.2132,0.13656,0.05768,1.63696,2.71558,2.31016,1.68915,0,8.812e-05,8.812e-05,8.812e-05
8,2191.44,1.12517,2.29212,1.84508,1.36513,0,0.58126,0.22877,0.21344,0.11157,0.5649,0.20867,0.18014,0.08527,1.54323,2.65309,2.11713,1.63207,0,8.614e-05,8.614e-05,8.614e-05
9,2396.38,1.10217,2.16301,1.73275,1.33622,0,0.28362,0.27462,0.1933,0.10381,0.29341,0.23256,0.1714,0.08048,1.5245,2.6533,2.23635,1.62462,0,8.416e-05,8.416e-05,8.416e-05
10,2602,1.09612,2.21276,1.71133,1.32554,0,0.27669,0.22965,0.18841,0.1135,0.2483,0.2341,0.16679,0.08181,1.51889,2.66652,2.10344,1.56764,0,8.218e-05,8.218e-05,8.218e-05
11,2808,1.10424,2.17374,1.68528,1.34811,0,0.26397,0.29275,0.22949,0.14252,0.26323,0.29139,0.20681,0.10735,1.49154,2.70566,1.98978,1.56573,0,8.02e-05,8.02e-05,8.02e-05
12,3014.12,1.03707,1.99801,1.58735,1.28263,0,0.245,0.35042,0.24268,0.13929,0.2,0.30407,0.19988,0.1041,1.44936,2.66935,2.09343,1.51581,0,7.822e-05,7.822e-05,7.822e-05
13,3343.13,1.02014,2.04809,1.57388,1.2896,0,0.3019,0.23766,0.23216,0.13102,0.2773,0.222,0.20027,0.10208,1.59592,2.58884,2.20332,1.66333,0,7.624e-05,7.624e-05,7.624e-05
14,3778.48,1.01689,2.08263,1.58688,1.29779,0,0.34235,0.23653,0.22265,0.12956,0.31139,0.2104,0.19154,0.10899,1.44947,2.70064,2.02195,1.56803,0,7.426e-05,7.426e-05,7.426e-05
15,3985.21,0.98236,1.95444,1.53603,1.24952,0,0.4407,0.26821,0.24893,0.14376,0.4109,0.24528,0.21185,0.11422,1.38776,2.47037,2.0214,1.51892,0,7.228e-05,7.228e-05,7.228e-05
16,4187.82,0.99048,1.93968,1.47284,1.26715,0,0.31977,0.34444,0.24826,0.1403,0.2847,0.26245,0.20884,0.10836,1.42907,2.56603,2.10083,1.56422,0,7.03e-05,7.03e-05,7.03e-05
17,4391.07,0.96734,1.92664,1.37438,1.2454,0,0.33821,0.33874,0.2474,0.1287,0.28668,0.25026,0.1998,0.09441,1.44919,2.49946,2.04662,1.5685,0,6.832e-05,6.832e-05,6.832e-05
18,4872.18,0.95975,1.93635,1.40198,1.25605,0,0.38405,0.27901,0.27799,0.16356,0.34903,0.21214,0.23351,0.13829,1.44394,2.55423,1.96704,1.52423,0,6.634e-05,6.634e-05,6.634e-05
