epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1041.37,1.33242,1.56648,1.75466,1.42906,0,0.50321,0.37428,0.37479,0.21769,0.23499,0.21089,0.12047,0.02791,1.40513,1.80148,1.77498,1.46745,0,3.31633e-05,3.31633e-05,0.0668699
2,1941.82,1.13909,1.19646,1.40573,1.30686,0,0.45906,0.4044,0.37735,0.21521,0.54213,0.34299,0.34192,0.11731,1.38832,1.09654,1.72956,1.41139,0,6.60577e-05,6.60577e-05,0.0335695
3,2812.02,1.1177,1.17819,1.35274,1.25817,0,0.56767,0.44148,0.43613,0.25575,0.53816,0.39513,0.37064,0.11542,1.33202,1.06952,1.57953,1.38813,0,9.85122e-05,9.85122e-05,0.00026858
4,8930.24,1.09647,1.19551,1.3354,1.25507,0,0.58172,0.43453,0.4594,0.26444,0.53274,0.39166,0.38066,0.13174,1.34669,1.03448,1.58735,1.41798,0,9.802e-05,9.802e-05,9.802e-05
5,9806.1,1.08948,1.09466,1.28281,1.27194,0,0.59096,0.49015,0.48861,0.28628,0.56602,0.46118,0.4361,0.15529,1.34409,1.0188,1.51249,1.40163,0,9.736e-05,9.736e-05,9.736e-05
6,10711.8,1.02546,1.14054,1.22588,1.232,0,0.55668,0.45771,0.47958,0.28213,0.53198,0.40904,0.40022,0.1301,1.31574,1.06287,1.58808,1.39635,0,9.67e-05,9.67e-05,9.67e-05
7,11585.8,0.9966,1.02871,1.16728,1.20419,0,0.60709,0.47045,0.50729,0.30869,0.60416,0.40672,0.43489,0.15714,1.25858,1.00464,1.48341,1.33013,0,9.604e-05,9.604e-05,9.604e-05
8,12460.1,0.98926,1.08443,1.19236,1.20182,0,0.51439,0.49219,0.48676,0.2853,0.54735,0.4044,0.42159,0.15602,1.28142,0.99291,1.57327,1.37642,0,9.538e-05,9.538e-05,9.538e-05
9,13322.8,0.9729,1.01574,1.17718,1.18628,0,0.57473,0.4832,0.4671,0.28397,0.51684,0.45307,0.39603,0.13805,1.25887,1.0006,1.54437,1.338,0,9.472e-05,9.472e-05,9.472e-05
10,14206.5,0.97202,1.05093,1.10389,1.20172,0,0.60309,0.48436,0.51131,0.31475,0.56702,0.45539,0.45624,0.17118,1.24195,0.96313,1.49075,1.33333,0,9.406e-05,9.406e-05,9.406e-05
11,15091.7,0.92667,1.00148,1.0809,1.18199,0,0.58431,0.47277,0.51859,0.31931,0.50566,0.46698,0.45052,0.16723,1.22091,0.9574,1.4134,1.31155,0,9.34e-05,9.34e-05,9.34e-05
12,15980.7,0.97437,1.02422,1.06562,1.16702,0,0.58514,0.49942,0.50968,0.30018,0.57066,0.44844,0.44243,0.17071,1.28357,0.95749,1.46436,1.35124,0,9.274e-05,9.274e-05,9.274e-05
13,16870.8,0.9508,1.01856,1.03532,1.16047,0,0.59941,0.46466,0.51935,0.32175,0.53777,0.44728,0.45079,0.16972,1.21431,0.95951,1.42812,1.30315,0,9.208e-05,9.208e-05,9.208e-05
