epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1192,1.42432,2.87217,2.3739,1.52071,0,0.47631,0.25724,0.22871,0.12803,0.00259,0.01043,9e-05,2e-05,1.69237,27.0076,2.54097,1.69437,0,2.4e-05,2.4e-05,0.076024
2,148.242,1.04203,1.27522,1.26522,1.24145,0,0.56139,0.32908,0.33867,0.20409,0.00155,0.00116,1e-05,0,1.49317,15.6206,1.93418,1.51083,0,4.86766e-05,4.86766e-05,0.0510487
3,222.487,1.00471,1.23445,1.21833,1.19746,0,0.52483,0.43453,0.44558,0.27602,0.15088,0.07995,0.02619,0.00575,1.33648,2.94392,1.6311,1.41874,0,7.30232e-05,7.30232e-05,0.026073
4,296.202,0.95549,1.12445,1.09907,1.17091,0,0.60745,0.41831,0.45321,0.25912,0.50372,0.33256,0.2925,0.07929,1.34633,1.50818,1.68671,1.40839,0,9.70398e-05,9.70398e-05,0.00109704
5,366.662,0.94762,1.11243,1.07541,1.16179,0,0.60675,0.46813,0.4914,0.30121,0.58427,0.40712,0.41821,0.13924,1.25565,1.13216,1.49361,1.33449,0,9.736e-05,9.736e-05,9.736e-05
6,439.905,0.92242,1.05628,1.03492,1.12775,0,0.55646,0.51796,0.49713,0.30112,0.55956,0.47109,0.43422,0.15112,1.27354,1.07122,1.5069,1.31728,0,9.67e-05,9.67e-05,9.67e-05
7,510.72,0.91967,1.07448,1.06889,1.12129,0,0.54231,0.49479,0.5021,0.30243,0.52555,0.48133,0.44253,0.16748,1.26664,1.05444,1.50616,1.32148,0,9.604e-05,9.604e-05,9.604e-05
8,583.749,0.87345,0.99944,0.97747,1.1139,0,0.63656,0.47509,0.52902,0.32013,0.59662,0.44264,0.44815,0.16539,1.23256,1.04484,1.44761,1.29281,0,9.538e-05,9.538e-05,9.538e-05
9,657.827,0.86058,1.01967,0.96301,1.10257,0,0.64974,0.51157,0.54277,0.33543,0.64581,0.4635,0.46723,0.1805,1.22814,1.03758,1.41253,1.29756,0,9.472e-05,9.472e-05,9.472e-05
10,726.98,0.91445,1.07729,0.96312,1.11553,0,0.61981,0.52144,0.56473,0.35684,0.58256,0.47542,0.46723,0.17432,1.1849,1.05757,1.41043,1.2697,0,9.406e-05,9.406e-05,9.406e-05
11,800.308,0.85622,0.99798,0.91688,1.10807,0,0.64287,0.49015,0.51587,0.32247,0.63141,0.46929,0.4638,0.17911,1.24565,1.02047,1.4244,1.30749,0,9.34e-05,9.34e-05,9.34e-05
12,867.328,0.89926,1.07363,0.93811,1.10781,0,0.65232,0.51333,0.55055,0.34239,0.63263,0.48488,0.48641,0.18482,1.256,1.00258,1.44008,1.28825,0,9.274e-05,9.274e-05,9.274e-05
13,927.634,0.80873,0.96591,0.83237,1.07762,0,0.61044,0.53187,0.55587,0.36135,0.60422,0.47509,0.48493,0.18587,1.19712,1.0139,1.3615,1.2638,0,9.208e-05,9.208e-05,9.208e-05
14,996.214,0.81929,1.00054,0.83468,1.07238,0,0.69072,0.52375,0.58042,0.3704,0.63854,0.48105,0.48856,0.18605,1.20637,1.037,1.32928,1.27524,0,9.142e-05,9.142e-05,9.142e-05
15,1072.18,0.83282,0.95716,0.81909,1.07727,0,0.64264,0.54809,0.55269,0.3561,0.59618,0.48783,0.47838,0.18938,1.23113,1.01527,1.35689,1.28003,0,9.076e-05,9.076e-05,9.076e-05
16,1144.57,0.79098,0.97075,0.83447,1.0676,0,0.63138,0.52723,0.56241,0.37052,0.57781,0.4971,0.48585,0.1956,1.15633,0.99822,1.32312,1.24738,0,9.01e-05,9.01e-05,9.01e-05
17,1214.92,0.79267,0.95962,0.80002,1.05233,0,0.59901,0.52449,0.53739,0.34314,0.63312,0.45771,0.46767,0.17968,1.22955,1.01332,1.3763,1.29849,0,8.944e-05,8.944e-05,8.944e-05
18,1280.51,0.77951,0.92911,0.749,1.04952,0,0.68309,0.53418,0.57005,0.35832,0.6587,0.49647,0.4923,0.19789,1.22053,0.97828,1.31041,1.30821,0,8.878e-05,8.878e-05,8.878e-05
19,1344.17,0.7908,0.97021,0.79979,1.06664,0,0.65772,0.50323,0.54346,0.35386,0.64954,0.47677,0.48658,0.18799,1.20906,1.00719,1.37262,1.31251,0,8.812e-05,8.812e-05,8.812e-05
20,1412.98,0.78141,0.96044,0.79723,1.0435,0,0.62046,0.5365,0.54745,0.35596,0.59765,0.50604,0.48309,0.18846,1.17503,0.98541,1.3684,1.26182,0,8.746e-05,8.746e-05,8.746e-05
21,1481.69,0.7693,0.94395,0.7723,1.05168,0,0.72007,0.49479,0.56853,0.37395,0.65085,0.48436,0.49692,0.19934,1.14967,0.98875,1.32285,1.24376,0,8.68e-05,8.68e-05,8.68e-05
22,1556.21,0.76973,0.95505,0.70907,1.03953,0,0.64061,0.53703,0.57133,0.37256,0.59362,0.49763,0.49224,0.19274,1.17398,0.99859,1.33437,1.27548,0,8.614e-05,8.614e-05,8.614e-05
23,1626.2,0.71773,0.95844,0.68535,1.01173,0,0.66107,0.54017,0.5891,0.38065,0.59421,0.50225,0.4936,0.19805,1.15028,0.98017,1.29769,1.25709,0,8.548e-05,8.548e-05,8.548e-05
24,1699.54,0.708,0.87693,0.67937,1.01477,0,0.63571,0.56779,0.58017,0.38307,0.59523,0.52839,0.49782,0.19517,1.14699,1.00368,1.30099,1.25614,0,8.482e-05,8.482e-05,8.482e-05
25,1765.02,0.73931,0.9309,0.68833,1.01523,0,0.66762,0.53765,0.58429,0.3887,0.59429,0.52607,0.51435,0.21429,1.14057,0.9758,1.27323,1.25118,0,8.416e-05,8.416e-05,8.416e-05
26,1838.88,0.7078,0.87024,0.67626,1.00792,0,0.65071,0.52491,0.55206,0.36165,0.62068,0.4778,0.48443,0.19946,1.18339,0.96336,1.38589,1.29526,0,8.35e-05,8.35e-05,8.35e-05
27,1909.29,0.71364,0.90825,0.62201,1.0211,0,0.64732,0.56779,0.58277,0.38246,0.62894,0.52244,0.51143,0.21552,1.15014,0.96347,1.2788,1.25159,0,8.284e-05,8.284e-05,8.284e-05
28,1972.85,0.71484,0.92693,0.64648,0.99751,0,0.744,0.52491,0.58863,0.39074,0.67985,0.51448,0.52104,0.21441,1.15071,0.95583,1.25646,1.24957,0,8.218e-05,8.218e-05,8.218e-05
29,2043.3,0.67823,0.86382,0.64375,0.9934,0,0.69799,0.54114,0.59499,0.38954,0.68313,0.50406,0.51702,0.21099,1.15097,0.97644,1.23154,1.25495,0,8.152e-05,8.152e-05,8.152e-05
