epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,853.384,1.5012,2.23795,2.53613,1.48909,0,0.46025,0.33604,0.29066,0.14445,0.28784,0.17845,0.10644,0.01841,1.77048,6.30224,2.18818,1.73652,0,3.26531e-05,3.26531e-05,0.0673796
2,1729.73,1.32332,1.35143,1.62585,1.35092,0,0.45779,0.37079,0.33605,0.17256,0.00502,0.02086,0.00095,0.00047,1.67464,2.68696,2.05421,1.58898,0,6.55509e-05,6.55509e-05,0.0340792
3,2634.41,1.2164,1.26881,1.48475,1.28838,0,0.43473,0.42865,0.35183,0.18328,0.41436,0.3117,0.25403,0.0717,1.55681,1.32203,1.83499,1.48381,0,9.80087e-05,9.80087e-05,0.000778281
4,3338.62,1.17885,1.27406,1.40017,1.25275,0,0.47855,0.40672,0.38338,0.19506,0.43061,0.37312,0.30729,0.09216,1.53944,1.2094,1.81069,1.49668,0,9.802e-05,9.802e-05,9.802e-05
5,4139.17,1.1507,1.2134,1.31021,1.24418,0,0.5503,0.41688,0.42206,0.21772,0.509,0.38559,0.35385,0.11141,1.52472,1.18617,1.7561,1.48146,0,9.736e-05,9.736e-05,9.736e-05
6,4930.83,1.09452,1.18441,1.23283,1.21414,0,0.55828,0.4102,0.43172,0.22858,0.49362,0.36269,0.34245,0.10386,1.54186,1.19448,1.76191,1.50332,0,9.67e-05,9.67e-05,9.67e-05
7,5833.03,1.08833,1.14953,1.20613,1.20644,0,0.53494,0.48088,0.4368,0.23679,0.47693,0.42874,0.35959,0.11608,1.50614,1.18649,1.698,1.46602,0,9.604e-05,9.604e-05,9.604e-05
8,6501.72,1.05516,1.08707,1.18805,1.19443,0,0.61424,0.45389,0.47012,0.26316,0.55132,0.4102,0.38701,0.13086,1.45899,1.14095,1.61921,1.43738,0,9.538e-05,9.538e-05,9.538e-05
9,7313.29,1.03605,1.1033,1.16054,1.19254,0,0.61379,0.47393,0.49347,0.28152,0.57307,0.44148,0.43439,0.14962,1.43002,1.11733,1.53919,1.38594,0,9.472e-05,9.472e-05,9.472e-05
10,8099,1.01698,1.08884,1.12637,1.17305,0,0.62115,0.44844,0.49496,0.28483,0.62749,0.40556,0.42878,0.15524,1.40858,1.12732,1.53019,1.36494,0,9.406e-05,9.406e-05,9.406e-05
