epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6264,1.54076,3.09989,2.93522,1.52708,0,0.30114,0.16686,0.11488,0.05067,0,0,0,0,2.03999,26.1012,2.99281,2.0815,0,2.4e-05,2.4e-05,0.076024
2,128.299,1.21483,1.46221,1.5328,1.30536,0,0.18737,0.27231,0.10798,0.045,0.02162,0.02549,0.00139,0.00023,1.92851,14.4382,2.60518,1.88898,0,4.86766e-05,4.86766e-05,0.0510487
3,189.115,1.19635,1.3478,1.41577,1.28999,0,0.42164,0.36385,0.31099,0.15003,0.17144,0.18772,0.06727,0.01426,1.6193,2.41513,2.04198,1.58771,0,7.30232e-05,7.30232e-05,0.026073
4,252.174,1.11926,1.24394,1.321,1.22976,0,0.50973,0.41483,0.38873,0.20296,0.38367,0.24565,0.18343,0.05143,1.52983,1.71807,1.91387,1.4619,0,9.70398e-05,9.70398e-05,0.00109704
5,315.408,1.15305,1.23698,1.28138,1.22254,0,0.56229,0.4034,0.42091,0.23104,0.51566,0.37659,0.34167,0.10251,1.52051,1.22961,1.88247,1.46798,0,9.736e-05,9.736e-05,9.736e-05
6,378.155,1.02393,1.16315,1.18919,1.15872,0,0.4607,0.43801,0.35628,0.19415,0.45122,0.42063,0.33158,0.10675,1.54447,1.21606,1.87923,1.47227,0,9.67e-05,9.67e-05,9.67e-05
7,440.969,1.05873,1.16281,1.17808,1.17332,0,0.50457,0.45655,0.42934,0.23904,0.49544,0.4096,0.38436,0.12121,1.48551,1.19564,1.69514,1.42837,0,9.604e-05,9.604e-05,9.604e-05
8,505.314,1.006,1.12344,1.12557,1.142,0,0.59322,0.44959,0.47705,0.2645,0.59144,0.41097,0.41726,0.13618,1.41746,1.1467,1.59714,1.39577,0,9.538e-05,9.538e-05,9.538e-05
9,568.388,1.00663,1.0796,1.13391,1.15543,0,0.59916,0.48783,0.47495,0.26567,0.55577,0.44796,0.40985,0.13716,1.44347,1.11572,1.5793,1.40512,0,9.472e-05,9.472e-05,9.472e-05
10,631.985,1.03461,1.12004,1.12176,1.15745,0,0.57488,0.49479,0.4847,0.27952,0.53833,0.45655,0.40181,0.13545,1.3738,1.14848,1.58175,1.35917,0,9.406e-05,9.406e-05,9.406e-05
11,698.066,1.01959,1.144,1.10884,1.15828,0,0.55598,0.50753,0.4952,0.29087,0.55385,0.43801,0.42235,0.13831,1.37132,1.25174,1.56205,1.36636,0,9.34e-05,9.34e-05,9.34e-05
12,761.745,0.98002,1.08653,1.06785,1.13576,0,0.55258,0.49826,0.49119,0.28705,0.57965,0.44264,0.4373,0.15215,1.40127,1.08654,1.58558,1.40016,0,9.274e-05,9.274e-05,9.274e-05
13,827.261,0.91833,1.019,0.97944,1.11145,0,0.62005,0.45307,0.47901,0.28058,0.55445,0.44032,0.43094,0.15318,1.39993,1.12367,1.6035,1.38202,0,9.208e-05,9.208e-05,9.208e-05
14,890.347,0.94787,1.0499,1.06378,1.13209,0,0.61672,0.44935,0.4819,0.28023,0.61367,0.40862,0.41675,0.1387,1.38375,1.13304,1.58199,1.37521,0,9.142e-05,9.142e-05,9.142e-05
15,953.333,0.96525,1.10054,1.00186,1.10749,0,0.63892,0.47569,0.49256,0.2948,0.62888,0.44844,0.44283,0.15789,1.36523,1.08779,1.55221,1.34469,0,9.076e-05,9.076e-05,9.076e-05
16,1015.06,0.90446,1.00874,0.95182,1.09591,0,0.62936,0.4971,0.50632,0.30002,0.60622,0.46917,0.44518,0.15927,1.35251,1.08513,1.49272,1.34015,0,9.01e-05,9.01e-05,9.01e-05
17,1077.7,0.90866,1.08099,0.94664,1.09895,0,0.62969,0.48899,0.50459,0.29905,0.59985,0.46582,0.45282,0.16284,1.35345,1.0641,1.49972,1.33143,0,8.944e-05,8.944e-05,8.944e-05
18,1145.23,0.90521,1.09183,0.90765,1.07439,0,0.6186,0.49805,0.48692,0.28291,0.59982,0.45307,0.42901,0.1538,1.36703,1.07039,1.51121,1.34128,0,8.878e-05,8.878e-05,8.878e-05
19,1205.03,0.91701,1.0187,0.94238,1.09696,0,0.7115,0.45771,0.53391,0.31987,0.67558,0.42952,0.46474,0.17142,1.33819,1.05841,1.48406,1.3276,0,8.812e-05,8.812e-05,8.812e-05
20,1267.42,0.86998,1.03918,0.86301,1.08464,0,0.64223,0.51796,0.53511,0.31703,0.60035,0.48667,0.47067,0.17068,1.35307,1.0653,1.43163,1.33896,0,8.746e-05,8.746e-05,8.746e-05
21,1330.55,0.91031,1.03144,0.90639,1.08617,0,0.66197,0.49131,0.51413,0.30089,0.62291,0.4728,0.45303,0.16621,1.39127,1.07227,1.46075,1.36249,0,8.68e-05,8.68e-05,8.68e-05
22,1390.15,0.87278,1.00317,0.85361,1.06728,0,0.67201,0.48899,0.51155,0.31263,0.64454,0.4438,0.45168,0.17144,1.35139,1.02349,1.48031,1.33359,0,8.614e-05,8.614e-05,8.614e-05
23,1446.87,0.87222,1.09194,0.83862,1.05809,0,0.64494,0.49131,0.50477,0.31031,0.6351,0.45307,0.45068,0.16778,1.33625,1.03315,1.50726,1.33738,0,8.548e-05,8.548e-05,8.548e-05
24,1505.84,0.8433,1.01597,0.82347,1.05987,0,0.64647,0.50642,0.51883,0.31641,0.62218,0.4656,0.44987,0.1624,1.32297,1.04032,1.43756,1.30604,0,8.482e-05,8.482e-05,8.482e-05
25,1563.57,0.86325,1.01067,0.82357,1.05403,0,0.55965,0.55504,0.50388,0.30642,0.59718,0.46118,0.44139,0.16384,1.32177,1.04686,1.51185,1.33264,0,8.416e-05,8.416e-05,8.416e-05
26,1625.25,0.84406,1.00621,0.8242,1.03965,0,0.64801,0.47509,0.52782,0.33072,0.58701,0.47763,0.46858,0.18087,1.28486,1.0468,1.4676,1.30955,0,8.35e-05,8.35e-05,8.35e-05
27,1684.76,0.84574,1.02175,0.81987,1.05109,0,0.63258,0.53534,0.5235,0.31405,0.62518,0.48319,0.45198,0.16744,1.30871,1.02711,1.42308,1.31844,0,8.284e-05,8.284e-05,8.284e-05
28,1741.22,0.85369,1.0077,0.83904,1.04797,0,0.66566,0.52028,0.53155,0.31641,0.63483,0.47277,0.45102,0.16493,1.30965,1.06989,1.42951,1.31824,0,8.218e-05,8.218e-05,8.218e-05
29,1797.91,0.83353,0.97668,0.77432,1.03045,0,0.67039,0.4855,0.50698,0.30503,0.59302,0.46234,0.44108,0.16915,1.3174,1.03012,1.49454,1.33577,0,8.152e-05,8.152e-05,8.152e-05
30,1858.87,0.81891,0.95489,0.79772,1.03778,0,0.60597,0.5168,0.49686,0.29174,0.59856,0.4971,0.44505,0.16469,1.31809,1.03492,1.48689,1.32973,0,8.086e-05,8.086e-05,8.086e-05
31,1916.56,0.79283,0.94132,0.75443,1.03287,0,0.59039,0.51912,0.50424,0.30298,0.59057,0.48304,0.44992,0.16238,1.34115,1.0705,1.4759,1.34393,0,8.02e-05,8.02e-05,8.02e-05
32,1974.82,0.80034,0.93809,0.76171,1.02443,0,0.66579,0.52491,0.52065,0.31307,0.63931,0.50637,0.46055,0.15858,1.36326,1.06658,1.43934,1.37817,0,7.954e-05,7.954e-05,7.954e-05
33,2035.91,0.82779,0.97105,0.78714,1.03852,0,0.68635,0.50753,0.54148,0.31828,0.64459,0.5029,0.48866,0.17777,1.3797,1.05126,1.39843,1.39129,0,7.888e-05,7.888e-05,7.888e-05
34,2099.97,0.83005,0.97121,0.7824,1.03063,0,0.64456,0.51271,0.5269,0.31274,0.61963,0.48552,0.47429,0.17222,1.35105,1.09725,1.44008,1.37295,0,7.822e-05,7.822e-05,7.822e-05
35,2157.84,0.8091,1.01663,0.74702,1.02838,0,0.66822,0.4971,0.52738,0.32204,0.61737,0.46813,0.47121,0.17789,1.32488,1.05171,1.46356,1.34733,0,7.756e-05,7.756e-05,7.756e-05
36,2218.33,0.80029,1.00748,0.75292,1.01054,0,0.66146,0.50941,0.52295,0.32181,0.61616,0.47805,0.45426,0.16563,1.32711,1.06302,1.42949,1.35396,0,7.69e-05,7.69e-05,7.69e-05
37,2283.42,0.82022,0.97451,0.73602,1.03456,0,0.68459,0.47625,0.48355,0.29496,0.65511,0.44612,0.43189,0.15312,1.35721,1.05532,1.4959,1.36942,0,7.624e-05,7.624e-05,7.624e-05
38,2342.92,0.77527,0.96925,0.70474,1.01601,0,0.65864,0.51448,0.51213,0.31372,0.62391,0.47509,0.44977,0.1617,1.32801,1.03948,1.44541,1.34307,0,7.558e-05,7.558e-05,7.558e-05
39,2401.54,0.75574,0.92287,0.68303,1.00102,0,0.64526,0.52375,0.52839,0.32329,0.61132,0.48436,0.47455,0.17572,1.31684,1.03706,1.41592,1.33761,0,7.492e-05,7.492e-05,7.492e-05
40,2458.35,0.77057,0.93192,0.68458,1.00052,0,0.6443,0.52893,0.52368,0.3125,0.62039,0.50058,0.47044,0.17903,1.32376,1.04573,1.42835,1.3497,0,7.426e-05,7.426e-05,7.426e-05
