epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1651.32,0.77206,0.9245,0.70921,1.03264,0,0.81928,0.47277,0.44415,0.32503,0.79116,0.45655,0.41156,0.19009,1.11115,0.98339,1.12071,1.17317,0,0.000658824,0.000658824,0.000658824
2,3342.91,0.82672,0.94673,0.78899,1.0486,0,0.85682,0.43685,0.41576,0.31182,0.81136,0.41367,0.38018,0.17157,1.11339,0.95853,1.13195,1.17359,0,0.00129925,0.00129925,0.00129925
3,4725.59,0.90329,0.98134,0.86295,1.08165,0,0.87245,0.39629,0.36562,0.2488,0.83163,0.37775,0.33183,0.14537,1.2941,0.9921,1.30012,1.30637,0,0.00191327,0.00191327,0.00191327
4,6030.06,0.92589,1.00966,0.90555,1.09022,0,0.78333,0.32677,0.28145,0.19649,0.75278,0.31402,0.26138,0.09924,1.33263,1.15649,1.45746,1.32976,0,0.0018812,0.0018812,0.0018812
5,7281.73,0.94102,0.99323,0.91212,1.10523,0,0.78719,0.39861,0.34641,0.23517,0.75515,0.38239,0.326,0.13869,1.25639,0.97572,1.32496,1.28894,0,0.0018416,0.0018416,0.0018416
6,8511.24,0.92466,1.00535,0.88457,1.09539,0,0.83047,0.39166,0.35678,0.25699,0.77641,0.36616,0.3142,0.136,1.21347,1.0911,1.27066,1.2312,0,0.001802,0.001802,0.001802
7,10753.5,0.90923,1.00896,0.89928,1.08582,0,0.85674,0.35342,0.33199,0.23889,0.82303,0.33951,0.30089,0.14078,1.22295,1.03366,1.28201,1.24794,0,0.0017624,0.0017624,0.0017624
8,11983.7,0.94234,1.00419,0.91888,1.11015,0,0.8288,0.35342,0.32489,0.22555,0.79891,0.34067,0.30628,0.1337,1.35206,1.0913,1.42815,1.32793,0,0.0017228,0.0017228,0.0017228
9,13207.4,0.93876,0.99598,0.9075,1.111,0,0.82124,0.36732,0.33151,0.22871,0.79534,0.35574,0.3101,0.13485,1.30445,0.99675,1.30619,1.29977,0,0.0016832,0.0016832,0.0016832
10,14750.6,0.92039,0.99716,0.89985,1.10108,0,0.89381,0.3511,0.3371,0.23968,0.85841,0.3372,0.30694,0.13482,1.22375,1.06353,1.28617,1.24021,0,0.0016436,0.0016436,0.0016436
11,16215,0.91708,0.99869,0.88446,1.09727,0,0.81343,0.37891,0.34792,0.24636,0.79104,0.36848,0.32794,0.1507,1.2649,0.99812,1.31035,1.26414,0,0.001604,0.001604,0.001604
12,17630.1,0.90423,0.97731,0.87567,1.08694,0,0.85575,0.40556,0.37852,0.27369,0.79951,0.37891,0.3359,0.15309,1.18343,0.9875,1.23973,1.22685,0,0.0015644,0.0015644,0.0015644
13,18944,0.89307,0.96412,0.85452,1.0867,0,0.87436,0.39513,0.36892,0.26091,0.83333,0.37659,0.3405,0.15347,1.23639,1.00992,1.25181,1.27152,0,0.0015248,0.0015248,0.0015248
14,20260,0.8917,0.98404,0.84991,1.09333,0,0.82393,0.42294,0.39706,0.28511,0.77878,0.39977,0.35868,0.16037,1.20552,0.98874,1.21669,1.22768,0,0.0014852,0.0014852,0.0014852
15,21591.1,0.88718,0.96255,0.84902,1.09091,0,0.82906,0.44959,0.42026,0.30357,0.79487,0.43105,0.3985,0.17104,1.22975,1.04159,1.20386,1.23371,0,0.0014456,0.0014456,0.0014456
16,22917.3,0.88192,0.9679,0.83356,1.07387,0,0.8196,0.42642,0.39577,0.28104,0.7706,0.40093,0.34978,0.15284,1.21367,0.99596,1.24911,1.2448,0,0.001406,0.001406,0.001406
17,24197.3,0.86226,0.98514,0.82334,1.06993,0,0.81818,0.45886,0.41613,0.30204,0.77893,0.43685,0.38028,0.17103,1.17138,1.01695,1.18345,1.2088,0,0.0013664,0.0013664,0.0013664
18,25541.5,0.88781,0.9661,0.83423,1.0749,0,0.84719,0.43685,0.40106,0.29024,0.81573,0.42063,0.37283,0.14362,1.18563,1.06781,1.21453,1.21878,0,0.0013268,0.0013268,0.0013268
19,26864.4,0.86344,0.9797,0.83025,1.07044,0,0.84464,0.44728,0.41891,0.30817,0.814,0.43105,0.3972,0.1795,1.13824,0.97,1.17504,1.19133,0,0.0012872,0.0012872,0.0012872
20,28192.4,0.83659,0.9399,0.78944,1.05473,0,0.83559,0.4299,0.39917,0.2969,0.81532,0.41947,0.3766,0.17047,1.16451,0.97283,1.16323,1.22226,0,0.0012476,0.0012476,0.0012476
21,29508.1,0.86114,0.9779,0.79714,1.0601,0,0.87379,0.41715,0.39361,0.2921,0.84466,0.40324,0.37379,0.16058,1.16242,1.0242,1.16404,1.20305,0,0.001208,0.001208,0.001208
22,30784.8,0.83165,0.95274,0.77706,1.05189,0,0.8665,0.41367,0.39571,0.29237,0.82282,0.39282,0.36777,0.17034,1.16751,0.96063,1.16001,1.2182,0,0.0011684,0.0011684,0.0011684
23,32074.1,0.83378,0.95919,0.78701,1.05313,0,0.85463,0.44959,0.41516,0.30472,0.81057,0.42642,0.38806,0.17407,1.1348,0.95982,1.20204,1.20285,0,0.0011288,0.0011288,0.0011288
24,33395.1,0.82613,0.96528,0.77641,1.0573,0,0.836,0.48436,0.45114,0.32861,0.804,0.46582,0.42239,0.18371,1.13455,0.98289,1.14233,1.18853,0,0.0010892,0.0010892,0.0010892
25,34662.5,0.81965,0.95267,0.76573,1.04311,0,0.8411,0.46002,0.43667,0.31529,0.79237,0.43337,0.38893,0.16851,1.12965,1.08119,1.13054,1.17821,0,0.0010496,0.0010496,0.0010496
26,35947.8,0.82752,0.94228,0.77033,1.04948,0,0.87196,0.45771,0.43656,0.33022,0.84327,0.44264,0.41437,0.1873,1.10765,0.96087,1.09869,1.15717,0,0.00101,0.00101,0.00101
27,37227.3,0.79217,0.91925,0.73453,1.03511,0,0.87209,0.43453,0.41729,0.30912,0.82791,0.41251,0.38319,0.16291,1.15,1.01023,1.13667,1.21128,0,0.0009704,0.0009704,0.0009704
28,38556.8,0.78543,0.91967,0.72789,1.03561,0,0.86184,0.45539,0.42368,0.31476,0.8136,0.4299,0.38114,0.17694,1.09529,0.9579,1.11383,1.15394,0,0.0009308,0.0009308,0.0009308
29,39881.5,0.80825,0.94745,0.73209,1.04299,0,0.80194,0.47856,0.4467,0.33195,0.7767,0.4635,0.41504,0.18488,1.10917,0.95606,1.15277,1.16297,0,0.0008912,0.0008912,0.0008912
30,41201.8,0.78682,0.91449,0.70564,1.03068,0,0.86652,0.45886,0.43706,0.33935,0.82713,0.43801,0.40356,0.19261,1.0515,0.96135,1.05505,1.12732,0,0.0008516,0.0008516,0.0008516
31,42489.1,0.77145,0.90828,0.71485,1.02048,0,0.87288,0.4774,0.45552,0.35172,0.84958,0.46466,0.43438,0.19713,1.05044,0.9763,1.05924,1.10986,0,0.000812,0.000812,0.000812
32,43791.7,0.76553,0.90453,0.70107,1.02438,0,0.86245,0.45771,0.43211,0.33442,0.82533,0.43801,0.39794,0.17472,1.08627,1.0491,1.0868,1.15233,0,0.0007724,0.0007724,0.0007724
33,45114.9,0.76247,0.91708,0.69419,1.01907,0,0.85928,0.46698,0.43723,0.34018,0.82729,0.44959,0.40782,0.19036,1.08279,0.99358,1.09442,1.15088,0,0.0007328,0.0007328,0.0007328
34,46405.1,0.75131,0.91613,0.67435,1.01245,0,0.86382,0.49247,0.46443,0.34384,0.8313,0.47393,0.43812,0.19359,1.08549,0.97689,1.0815,1.15232,0,0.0006932,0.0006932,0.0006932
35,47704.1,0.7604,0.92167,0.66968,1.01909,0,0.84722,0.49479,0.4662,0.35166,0.83532,0.48783,0.44694,0.19736,1.06154,0.97237,1.05911,1.13798,0,0.0006536,0.0006536,0.0006536
36,49064.8,0.75691,0.93265,0.68257,1.01347,0,0.82567,0.49942,0.4538,0.35092,0.79119,0.47856,0.42623,0.19902,1.03797,0.97231,1.08581,1.11576,0,0.000614,0.000614,0.000614
37,50607.1,0.73793,0.92705,0.67425,1.00955,0,0.8503,0.49363,0.46976,0.35709,0.82635,0.47972,0.44009,0.19733,1.02787,1.01937,1.03446,1.12157,0,0.0005744,0.0005744,0.0005744
38,52369,0.73295,0.88938,0.65827,0.99772,0,0.85465,0.51101,0.47909,0.363,0.82171,0.49131,0.45143,0.2023,1.03459,0.96663,1.04507,1.11894,0,0.0005348,0.0005348,0.0005348
39,53762.2,0.74397,0.91193,0.64576,1.00676,0,0.83516,0.52839,0.497,0.37791,0.80769,0.51101,0.47268,0.21654,1.02272,0.96039,1.03653,1.11404,0,0.0004952,0.0004952,0.0004952
40,55029.2,0.72986,0.89512,0.63973,1.0061,0,0.86914,0.51564,0.4937,0.37768,0.82031,0.48667,0.45032,0.21404,1.00855,0.94195,1.02119,1.1114,0,0.0004556,0.0004556,0.0004556
41,56285.5,0.78349,0.81601,0.72488,1.06174,0,0.8416,0.51101,0.49343,0.37464,0.81489,0.49479,0.46014,0.20921,1.03675,0.97549,1.0379,1.13117,0,0.000416,0.000416,0.000416
42,57648.6,0.73879,0.82487,0.67657,1.03359,0,0.84791,0.5168,0.49258,0.37718,0.81369,0.49594,0.45913,0.21048,1.0407,0.98018,1.03808,1.13552,0,0.0003764,0.0003764,0.0003764
43,59008,0.745,0.83032,0.64881,1.03303,0,0.85178,0.52607,0.49235,0.38061,0.81426,0.5029,0.46037,0.20808,1.0111,0.9921,1.00131,1.10878,0,0.0003368,0.0003368,0.0003368
44,60345.9,0.72365,0.812,0.64848,1.01613,0,0.84162,0.52955,0.49131,0.37919,0.79558,0.50058,0.45862,0.21218,0.99688,0.96905,1.02868,1.11501,0,0.0002972,0.0002972,0.0002972
45,61901.7,0.71718,0.82657,0.63339,1.00878,0,0.85581,0.52955,0.49945,0.38465,0.82397,0.50985,0.46752,0.2191,1.028,0.98987,0.99677,1.14366,0,0.0002576,0.0002576,0.0002576
46,63195.5,0.71041,0.80596,0.62384,1.01139,0,0.85451,0.53766,0.50397,0.3918,0.81768,0.51448,0.47119,0.21852,0.98148,0.97975,0.98509,1.11074,0,0.000218,0.000218,0.000218
47,64479.8,0.69792,0.79846,0.60337,1.00917,0,0.84826,0.53766,0.50603,0.39529,0.81718,0.51796,0.47534,0.21856,0.98825,0.96925,0.98364,1.1101,0,0.0001784,0.0001784,0.0001784
48,65759.2,0.69409,0.79667,0.60718,1.00777,0,0.8591,0.50869,0.4825,0.38126,0.82387,0.48783,0.45052,0.21459,0.99888,0.96718,0.99214,1.12156,0,0.0001388,0.0001388,0.0001388
49,67100.1,0.67437,0.79332,0.59116,0.99764,0,0.86168,0.53418,0.51138,0.39802,0.8243,0.51101,0.47849,0.22349,0.9752,0.9419,0.97823,1.10981,0,9.92e-05,9.92e-05,9.92e-05
50,68446.4,0.68504,0.80963,0.59376,0.99939,0,0.85688,0.54809,0.51885,0.40482,0.81522,0.52144,0.48568,0.22351,0.97656,0.95045,0.97859,1.1004,0,5.96e-05,5.96e-05,5.96e-05
