epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,468.374,3.99012,5.12872,3.41686,4.0565,0,0.00616,0.02402,0.00085,0.00016,0.00029,0.00751,1e-05,0,4.08638,46.1103,38.0926,9.24123,0,0.000665312,0.000665312,0.000665312
2,934.845,3.42503,2.67027,2.88453,3.43241,0,0.01746,0.05856,0.00566,0.00103,0.01243,0.03153,0.00165,0.00025,3.48098,2.21765,3.75849,4.56274,0,0.00124407,0.00124407,0.00124407
3,1398.9,3.27634,2.24187,2.76894,3.13201,0,0.01991,0.06156,0.00855,0.00209,0.02338,0.06156,0.00652,0.00116,3.2042,1.99385,5.51194,3.40859,0,0.00173482,0.00173482,0.00173482
4,1879.74,3.17,2.10369,2.70942,3.01033,0,0.02861,0.14114,0.01119,0.00246,0.02526,0.12462,0.00818,0.00135,3.18038,1.80856,5.49003,3.24644,0,0.001604,0.001604,0.001604
5,2319.75,3.12656,1.98068,2.65657,2.90586,0,0.07719,0.10811,0.02689,0.00629,0.08603,0.10961,0.0268,0.00509,3.14151,1.81388,3.18575,3.10443,0,0.001472,0.001472,0.001472
6,2721.83,3.00876,1.71739,2.70608,2.89488,0,0.0301,0.10511,0.01006,0.00263,0.0229,0.08559,0.00622,0.00122,2.98693,2.07407,13.1203,3.29671,0,0.00134,0.00134,0.00134
7,3105.52,2.92679,1.76666,2.63046,2.84914,0,0.03065,0.1006,0.00917,0.00251,0.01832,0.1036,0.00525,0.00103,2.93891,1.88332,13.4258,3.00356,0,0.001208,0.001208,0.001208
8,3484.91,2.88307,1.7467,2.53829,2.8089,0,0.05027,0.10511,0.01934,0.00569,0.03503,0.1021,0.01484,0.00248,2.88417,1.7681,6.41539,2.93101,0,0.001076,0.001076,0.001076
9,3864.65,2.80442,1.67304,2.4888,2.77116,0,0.07973,0.11864,0.02905,0.00756,0.07197,0.11411,0.02521,0.00489,2.77909,1.62476,6.45302,2.86484,0,0.000944,0.000944,0.000944
10,4243.82,2.806,1.69519,2.4522,2.73727,0,0.08746,0.11712,0.02426,0.0074,0.07685,0.12462,0.02227,0.00497,2.79518,1.64576,4.61384,2.89439,0,0.000812,0.000812,0.000812
11,4620.33,2.78323,1.63643,2.41076,2.71575,0,0.06554,0.09309,0.01512,0.0044,0.07318,0.0991,0.0205,0.00561,2.8215,1.63133,8.66766,2.93503,0,0.00068,0.00068,0.00068
12,5000.59,2.76494,1.57437,2.41254,2.71174,0,0.11889,0.15616,0.04102,0.01181,0.12083,0.14865,0.04179,0.00865,2.73509,1.58586,3.45101,2.82721,0,0.000548,0.000548,0.000548
13,5387.43,2.69124,1.54506,2.40947,2.67368,0,0.16739,0.12613,0.04981,0.0163,0.13204,0.13964,0.04591,0.01206,2.72249,1.58517,3.32558,2.83094,0,0.000416,0.000416,0.000416
14,5759.22,2.6767,1.58667,2.36976,2.63701,0,0.09232,0.15315,0.03563,0.00973,0.10547,0.15315,0.03627,0.00784,2.76337,1.59201,3.9019,2.85998,0,0.000284,0.000284,0.000284
15,6128.6,2.64998,1.52839,2.33928,2.63343,0,0.0985,0.17718,0.03964,0.01182,0.10832,0.16817,0.04026,0.00946,2.68521,1.6057,3.8811,2.81149,0,0.000152,0.000152,0.000152
