epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,245.058,3.71956,7.26946,3.52845,4.07182,0,0.0338,0.03708,0.00553,0.00099,0.01447,0.00927,0.00041,0.00011,3.78859,4.73057,5.79385,3.91943,0,0.000662722,0.000662722,0.000662722
2,527.342,3.09772,2.07809,3.05282,3.3169,0,0.04411,0.07879,0.01421,0.00366,0.04479,0.03824,0.01105,0.00199,3.03601,2.18343,3.69327,3.33761,0,0.00132061,0.00132061,0.00132061
3,803.545,2.84603,1.86903,2.87929,3.00516,0,0.06011,0.07107,0.02089,0.00451,0.07471,0.07068,0.02202,0.00475,2.83918,1.66053,3.13237,2.96737,0,0.00196971,0.00196971,0.00196971
4,1080.45,2.67103,1.67543,2.6953,2.85238,0,0.02793,0.28042,0.01418,0.00361,0.0246,0.2445,0.0111,0.00223,2.92005,1.51384,4.43735,3.06542,0,0.0019604,0.0019604,0.0019604
5,1359.35,2.54777,1.57128,2.52255,2.72389,0,0.06846,0.19003,0.03532,0.01053,0.06269,0.15527,0.03267,0.00782,2.63314,1.47329,3.08257,2.81344,0,0.0019472,0.0019472,0.0019472
6,1640.94,2.42282,1.53475,2.38466,2.61683,0,0.17428,0.219,0.08728,0.02554,0.15342,0.20857,0.06627,0.01478,2.57741,1.43304,2.72179,2.72829,0,0.001934,0.001934,0.001934
7,1909.89,2.28975,1.46765,2.27105,2.50309,0,0.20463,0.27462,0.10646,0.03377,0.18228,0.26651,0.08639,0.02066,2.46011,1.35967,2.56695,2.63133,0,0.0019208,0.0019208,0.0019208
8,2178.77,2.20086,1.44799,2.1988,2.42108,0,0.17492,0.2781,0.09007,0.02737,0.15306,0.24334,0.06943,0.01492,2.4081,1.34478,2.6411,2.57477,0,0.0019076,0.0019076,0.0019076
9,2447.97,2.12636,1.43874,2.10624,2.31398,0,0.23407,0.24334,0.1296,0.04329,0.22628,0.23986,0.11119,0.02671,2.31809,1.29787,2.39755,2.49043,0,0.0018944,0.0018944,0.0018944
10,2716.65,2.03335,1.38673,2.04449,2.25099,0,0.2835,0.30127,0.1781,0.07062,0.27886,0.28853,0.15305,0.04202,2.21467,1.32026,2.4419,2.35872,0,0.0018812,0.0018812,0.0018812
11,3006.07,1.98582,1.4052,2.00071,2.19998,0,0.33502,0.32445,0.19982,0.0836,0.31347,0.29664,0.16885,0.04788,2.08091,1.30331,2.21451,2.26692,0,0.001868,0.001868,0.001868
12,3301.95,1.916,1.37393,1.9452,2.12626,0,0.32621,0.27657,0.17175,0.06353,0.24767,0.21321,0.09876,0.02416,2.21373,1.43967,2.4638,2.42645,0,0.0018548,0.0018548,0.0018548
13,3591.76,1.85272,1.37208,1.91187,2.06059,0,0.37505,0.27231,0.20619,0.08738,0.36157,0.25956,0.16762,0.04483,2.07076,1.42209,2.27687,2.25384,0,0.0018416,0.0018416,0.0018416
14,3881.17,1.80934,1.34114,1.85907,2.02538,0,0.38173,0.3117,0.22697,0.0903,0.37168,0.29406,0.19516,0.05856,2.09336,1.25326,2.18423,2.23462,0,0.0018284,0.0018284,0.0018284
15,4158.66,1.82273,1.3466,1.86036,2.00568,0,0.35856,0.34647,0.24151,0.10083,0.34226,0.32379,0.20367,0.05579,2.07749,1.32341,2.23548,2.21626,0,0.0018152,0.0018152,0.0018152
16,4450.87,1.76003,1.34284,1.79153,1.95873,0,0.34632,0.28505,0.20954,0.08985,0.31534,0.25404,0.17104,0.0486,1.96055,1.28711,2.38845,2.09063,0,0.001802,0.001802,0.001802
17,4743.5,1.72762,1.31877,1.76309,1.93078,0,0.54039,0.33788,0.30349,0.13444,0.49036,0.3066,0.25729,0.07952,1.90842,1.26011,2.12132,2.02261,0,0.0017888,0.0017888,0.0017888
18,5027.91,1.69807,1.30285,1.74758,1.89028,0,0.48291,0.30591,0.30865,0.14553,0.47663,0.27926,0.26565,0.08544,1.88345,1.26337,2.04691,2.06777,0,0.0017756,0.0017756,0.0017756
19,5307.96,1.68684,1.30533,1.70481,1.88311,0,0.49802,0.36037,0.29674,0.13414,0.46248,0.33372,0.25117,0.07496,1.91981,1.30132,2.07018,2.06212,0,0.0017624,0.0017624,0.0017624
20,5585.64,1.67323,1.31565,1.68273,1.84652,0,0.4878,0.3421,0.32867,0.15703,0.46786,0.33256,0.28817,0.08971,1.92453,1.24215,2.03081,2.02787,0,0.0017492,0.0017492,0.0017492
