epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,317.889,1.81256,3.20475,2.22779,1.50932,0,0.41701,0.37975,0.35005,0.20407,0.41966,0.37847,0.3327,0.18551,1.40714,2.74089,1.82748,1.34168,0,0.00333075,0.00333075,0.0700232
2,633.805,1.73756,2.88095,1.7785,1.39843,0,0.43483,0.36493,0.34433,0.19416,0.44529,0.35848,0.33104,0.18294,1.55698,2.82406,1.89066,1.42283,0,0.00659811,0.00659811,0.0399573
3,951.649,1.79272,2.92015,1.78233,1.41917,0,0.41925,0.33398,0.3222,0.17532,0.41539,0.31244,0.30257,0.15718,1.59436,2.9732,1.93874,1.49272,0,0.00979947,0.00979947,0.00982529
4,1277.15,1.8351,2.93553,1.81378,1.44227,0,0.47267,0.37448,0.35785,0.19414,0.46616,0.35783,0.34249,0.18477,1.66413,2.97166,1.90997,1.48862,0,0.009703,0.009703,0.009703
5,1596.02,1.81037,2.90648,1.75565,1.43437,0,0.45751,0.38749,0.36421,0.20449,0.45957,0.3746,0.34747,0.18525,1.57764,2.92869,1.83016,1.45336,0,0.009604,0.009604,0.009604
6,1916.33,1.7704,2.82449,1.67518,1.40351,0,0.42431,0.38814,0.36154,0.20174,0.43243,0.38362,0.34844,0.18777,1.63942,2.91692,1.86186,1.51858,0,0.009505,0.009505,0.009505
7,2232.37,1.73185,2.76919,1.60737,1.37509,0,0.49135,0.37266,0.38115,0.22238,0.49384,0.36493,0.36618,0.20362,1.55302,2.79124,1.79491,1.47243,0,0.009406,0.009406,0.009406
8,2552.06,1.70041,2.72933,1.55251,1.35656,0,0.53873,0.38027,0.40548,0.23117,0.54567,0.37589,0.39325,0.21618,1.55686,2.8039,1.7309,1.45649,0,0.009307,0.009307,0.009307
9,2873.19,1.66673,2.67622,1.50687,1.34167,0,0.55302,0.41135,0.42484,0.24217,0.52885,0.41199,0.40576,0.22554,1.56542,2.88004,1.69835,1.44371,0,0.009208,0.009208,0.009208
10,3198.36,1.64097,2.63617,1.44906,1.31694,0,0.51424,0.40885,0.41768,0.23828,0.50613,0.4024,0.39682,0.21224,1.53325,2.80514,1.69663,1.46142,0,0.009109,0.009109,0.009109
11,3518.32,1.62252,2.61259,1.41514,1.31097,0,0.50759,0.43198,0.43928,0.25643,0.53553,0.41629,0.41715,0.23591,1.52866,2.7137,1.64763,1.42929,0,0.00901,0.00901,0.00901
12,3844.9,1.60384,2.56706,1.3715,1.29136,0,0.54599,0.45326,0.46399,0.26869,0.55248,0.4338,0.43837,0.24477,1.49999,2.72752,1.56739,1.41305,0,0.008911,0.008911,0.008911
13,4165.43,1.57743,2.53529,1.34163,1.27975,0,0.50811,0.44874,0.44801,0.25895,0.50068,0.4338,0.42938,0.23892,1.49001,2.69608,1.60066,1.42075,0,0.008812,0.008812,0.008812
14,4483.84,1.54871,2.50201,1.29822,1.26323,0,0.57351,0.45604,0.47331,0.28702,0.55972,0.44508,0.44866,0.25819,1.46654,2.66878,1.55138,1.39271,0,0.008713,0.008713,0.008713
15,4814.06,1.5303,2.46548,1.27664,1.24853,0,0.56842,0.46744,0.48216,0.28563,0.58679,0.44036,0.45624,0.25666,1.47374,2.68409,1.52421,1.38642,0,0.008614,0.008614,0.008614
16,5131.85,1.51481,2.45106,1.24372,1.23758,0,0.55364,0.47518,0.47179,0.27515,0.54248,0.45777,0.4431,0.25179,1.46349,2.67306,1.53261,1.40006,0,0.008515,0.008515,0.008515
17,5451.09,1.50627,2.41712,1.21942,1.23197,0,0.60354,0.47711,0.49138,0.30013,0.59284,0.45531,0.46211,0.26583,1.43978,2.69438,1.51718,1.37411,0,0.008416,0.008416,0.008416
18,5773.53,1.48803,2.39224,1.19532,1.21955,0,0.57109,0.48504,0.50562,0.3083,0.56428,0.47066,0.47626,0.2753,1.42455,2.62214,1.46429,1.40151,0,0.008317,0.008317,0.008317
19,6091.87,1.46959,2.35758,1.16198,1.21196,0,0.59006,0.47794,0.51772,0.31214,0.59651,0.46357,0.49421,0.27545,1.43114,2.77185,1.42526,1.37409,0,0.008218,0.008218,0.008218
20,6412.64,1.44992,2.33969,1.13312,1.19698,0,0.59093,0.49065,0.50939,0.30798,0.5867,0.46357,0.47513,0.27574,1.4398,2.67423,1.48287,1.37355,0,0.008119,0.008119,0.008119
21,6735.04,1.44182,2.31643,1.11334,1.19119,0,0.60004,0.50201,0.52254,0.32365,0.62242,0.46552,0.49608,0.28282,1.389,2.7307,1.42022,1.35499,0,0.00802,0.00802,0.00802
22,7052.85,1.42423,2.29353,1.09137,1.1782,0,0.60736,0.51263,0.53427,0.32687,0.60828,0.49387,0.50912,0.29473,1.39669,2.67586,1.40202,1.36381,0,0.007921,0.007921,0.007921
23,7375.86,1.41026,2.26543,1.06722,1.17162,0,0.61185,0.4971,0.51824,0.32053,0.6137,0.47969,0.49671,0.28576,1.39783,2.63894,1.43996,1.3478,0,0.007822,0.007822,0.007822
24,7693.77,1.39039,2.24164,1.04023,1.16021,0,0.58667,0.52095,0.52882,0.33373,0.57651,0.51193,0.50964,0.29798,1.37089,2.58401,1.40242,1.33833,0,0.007723,0.007723,0.007723
25,8017.98,1.38019,2.21887,1.01761,1.15375,0,0.60717,0.50097,0.53826,0.33459,0.64248,0.46228,0.51319,0.29737,1.36616,2.68393,1.40489,1.34718,0,0.007624,0.007624,0.007624
26,8335.17,1.36722,2.19985,1.00476,1.14648,0,0.63291,0.50741,0.52799,0.32917,0.6364,0.49202,0.50347,0.29211,1.38508,2.65466,1.4459,1.36224,0,0.007525,0.007525,0.007525
27,8651.15,1.34826,2.17222,0.98561,1.13868,0,0.63182,0.54768,0.56485,0.3539,0.62199,0.53575,0.53573,0.31157,1.35843,2.64852,1.30183,1.35576,0,0.007426,0.007426,0.007426
28,8974.59,1.33899,2.15508,0.9731,1.13071,0,0.63955,0.50806,0.53935,0.33138,0.62536,0.49722,0.50931,0.29435,1.40862,2.66294,1.39792,1.37501,0,0.007327,0.007327,0.007327
29,9290.37,1.32378,2.14699,0.95606,1.12003,0,0.64572,0.49239,0.54787,0.34307,0.62745,0.48549,0.51235,0.29488,1.39268,2.75768,1.36521,1.38538,0,0.007228,0.007228,0.007228
30,9607,1.31499,2.11904,0.92889,1.11518,0,0.6342,0.55513,0.56385,0.35466,0.62908,0.54288,0.5364,0.31402,1.39732,2.6878,1.34838,1.36847,0,0.007129,0.007129,0.007129
31,9925.17,1.30468,2.10298,0.91332,1.10286,0,0.60191,0.54159,0.55424,0.34517,0.64192,0.50032,0.52552,0.30487,1.38284,2.68601,1.37014,1.36855,0,0.00703,0.00703,0.00703
32,10241.1,1.29091,2.08071,0.90332,1.09861,0,0.62586,0.52998,0.55372,0.34851,0.62568,0.5216,0.53301,0.30767,1.39587,2.67274,1.36634,1.38064,0,0.006931,0.006931,0.006931
33,10556.5,1.28293,2.06934,0.88344,1.09351,0,0.60224,0.54276,0.54995,0.34499,0.6174,0.51193,0.51827,0.30181,1.36941,2.72452,1.34523,1.36298,0,0.006832,0.006832,0.006832
34,10872.8,1.27168,2.06033,0.87611,1.08825,0,0.62284,0.5519,0.55689,0.35669,0.62122,0.53127,0.53097,0.30836,1.37663,2.74345,1.34953,1.38434,0,0.006733,0.006733,0.006733
35,11188.2,1.25712,2.02734,0.85637,1.07957,0,0.64453,0.5029,0.54821,0.35195,0.64969,0.49839,0.53337,0.31552,1.3771,2.68891,1.36996,1.38411,0,0.006634,0.006634,0.006634
36,11504.3,1.24807,2.01554,0.84285,1.07218,0,0.6381,0.53771,0.55762,0.35865,0.63542,0.52366,0.53476,0.3163,1.35377,2.75058,1.34075,1.36899,0,0.006535,0.006535,0.006535
37,11822.3,1.23884,1.99391,0.84213,1.06807,0,0.62594,0.55964,0.56591,0.36197,0.62398,0.54674,0.5497,0.31723,1.36686,2.66849,1.34059,1.37144,0,0.006436,0.006436,0.006436
38,12140,1.22487,1.9908,0.82109,1.06266,0,0.61839,0.54288,0.55839,0.35894,0.64867,0.51663,0.54384,0.31707,1.35909,2.68776,1.35181,1.3762,0,0.006337,0.006337,0.006337
39,12455.4,1.21497,1.96823,0.81041,1.05345,0,0.64846,0.5459,0.56764,0.36798,0.65364,0.53537,0.54906,0.32203,1.34807,2.73423,1.32854,1.35428,0,0.006238,0.006238,0.006238
40,12779.3,1.20788,1.95863,0.80038,1.05013,0,0.62618,0.55061,0.56437,0.36848,0.6363,0.53514,0.53745,0.3177,1.34587,2.72795,1.32856,1.37328,0,0.006139,0.006139,0.006139
41,13096.4,1.19873,1.95096,0.7878,1.04263,0,0.65173,0.55448,0.57675,0.3706,0.64721,0.54803,0.55869,0.32366,1.35074,2.76679,1.31639,1.37633,0,0.00604,0.00604,0.00604
42,13418.1,1.19328,1.9147,0.78226,1.03952,0,0.64507,0.54288,0.5666,0.36593,0.63164,0.54505,0.54671,0.32539,1.37113,2.72014,1.33294,1.3953,0,0.005941,0.005941,0.005941
43,13734.2,1.17813,1.91547,0.77166,1.0348,0,0.61126,0.57511,0.5705,0.36785,0.61085,0.55061,0.5372,0.31658,1.34747,2.76989,1.31777,1.37586,0,0.005842,0.005842,0.005842
44,14051.1,1.17076,1.89758,0.76057,1.03122,0,0.63298,0.56609,0.56521,0.36436,0.6437,0.53836,0.54464,0.32299,1.34863,2.72233,1.36491,1.38182,0,0.005743,0.005743,0.005743
45,14366.7,1.15627,1.88159,0.74943,1.02416,0,0.66006,0.53772,0.56817,0.37398,0.66125,0.52733,0.54452,0.32704,1.32816,2.73238,1.29503,1.36528,0,0.005644,0.005644,0.005644
46,14690.3,1.14578,1.86996,0.74097,1.01852,0,0.63938,0.57963,0.57397,0.37128,0.64067,0.55126,0.54427,0.32494,1.34421,2.75869,1.29219,1.38556,0,0.005545,0.005545,0.005545
47,312.099,1.14087,1.85722,0.72894,1.01279,0,0.61623,0.58865,0.58489,0.37621,0.61254,0.5764,0.56213,0.33484,1.34897,2.7891,1.25521,1.38648,0,0.005446,0.005446,0.005446
48,628.887,1.13461,1.83385,0.71813,1.01183,0,0.63329,0.56898,0.57151,0.37263,0.64597,0.55255,0.55327,0.33039,1.3735,2.76359,1.3193,1.40166,0,0.005347,0.005347,0.005347
49,940.044,1.12831,1.83152,0.71977,1.00819,0,0.62936,0.56931,0.57174,0.36913,0.64067,0.54932,0.55677,0.32686,1.37289,2.79302,1.31246,1.41538,0,0.005248,0.005248,0.005248
50,1248.25,1.11863,1.81074,0.71028,1.0064,0,0.65591,0.54674,0.56593,0.36894,0.66039,0.52998,0.54703,0.32397,1.35698,2.8223,1.30679,1.4026,0,0.005149,0.005149,0.005149
51,1560.81,1.11255,1.80963,0.70254,0.99925,0,0.68242,0.53514,0.57604,0.37889,0.6742,0.52869,0.55693,0.33165,1.35339,2.8386,1.28435,1.40379,0,0.00505,0.00505,0.00505
52,1868.83,1.10321,1.78731,0.69473,0.99498,0,0.65022,0.5706,0.5763,0.37673,0.665,0.53242,0.55163,0.33137,1.34312,2.8325,1.29469,1.41165,0,0.004951,0.004951,0.004951
53,2174.25,1.09353,1.77316,0.68864,0.99039,0,0.63278,0.57963,0.57135,0.37712,0.64229,0.53901,0.5407,0.32392,1.3214,2.78129,1.31465,1.38857,0,0.004852,0.004852,0.004852
54,2484.79,1.08862,1.77216,0.6815,0.98684,0,0.66888,0.56028,0.56735,0.36916,0.65267,0.54417,0.54509,0.32504,1.33935,2.84099,1.33886,1.39616,0,0.004753,0.004753,0.004753
55,2796.98,1.07711,1.75114,0.67547,0.98144,0,0.65745,0.56222,0.57139,0.37804,0.67726,0.53965,0.55513,0.33054,1.32955,2.90452,1.30087,1.39388,0,0.004654,0.004654,0.004654
56,3107.24,1.07285,1.74193,0.66198,0.97884,0,0.64161,0.56222,0.56197,0.36807,0.66421,0.53183,0.53941,0.32421,1.35439,2.92246,1.31131,1.41744,0,0.004555,0.004555,0.004555
57,3419.59,1.06462,1.73173,0.65821,0.9751,0,0.65614,0.55486,0.56594,0.37533,0.66338,0.53191,0.54918,0.33068,1.34645,2.86043,1.31429,1.43197,0,0.004456,0.004456,0.004456
58,3729.73,1.06042,1.72324,0.65176,0.96986,0,0.6545,0.56305,0.56878,0.36886,0.65535,0.54223,0.54736,0.32582,1.36225,2.89549,1.30871,1.44082,0,0.004357,0.004357,0.004357
59,4041.46,1.04146,1.70318,0.64151,0.96579,0,0.6308,0.58385,0.5726,0.37531,0.64439,0.56197,0.55246,0.33029,1.3531,2.84657,1.3052,1.42857,0,0.004258,0.004258,0.004258
60,4352.29,1.03663,1.69385,0.63382,0.96443,0,0.65178,0.55964,0.56825,0.37462,0.67139,0.54481,0.55308,0.33205,1.3501,2.89432,1.28899,1.4461,0,0.004159,0.004159,0.004159
61,4663.45,1.03289,1.68009,0.63061,0.96256,0,0.63022,0.58092,0.56518,0.36838,0.62323,0.56415,0.54356,0.32782,1.35208,2.89378,1.31385,1.43135,0,0.00406,0.00406,0.00406
62,4971.37,1.02178,1.68154,0.62596,0.95776,0,0.63051,0.58092,0.56498,0.37227,0.61986,0.55835,0.54047,0.32676,1.34539,2.92183,1.31352,1.42019,0,0.003961,0.003961,0.003961
63,5280.13,1.02079,1.66606,0.62139,0.95412,0,0.65643,0.55899,0.56569,0.37312,0.66844,0.53965,0.54633,0.32957,1.3402,2.92155,1.28779,1.43479,0,0.003862,0.003862,0.003862
64,5591.2,1.01393,1.65878,0.61721,0.95162,0,0.63536,0.57318,0.5666,0.36996,0.63956,0.54997,0.54263,0.32495,1.36136,2.9502,1.32303,1.42901,0,0.003763,0.003763,0.003763
65,5903.73,1.00395,1.63445,0.60686,0.95055,0,0.64794,0.56544,0.56071,0.37285,0.65908,0.55591,0.54418,0.32535,1.33252,2.98998,1.29781,1.42922,0,0.003664,0.003664,0.003664
66,6212.76,1.00004,1.63397,0.60235,0.94684,0,0.65544,0.55559,0.55415,0.37043,0.64382,0.54352,0.53167,0.32156,1.33209,3.00512,1.35738,1.4215,0,0.003565,0.003565,0.003565
